Total,Servicio,Rmu,Periodo,Tarifa,Medidor,Multiplicador,Carga,Contratada,kWhBase,kWhIntermedia,kWhPunta,kWBase,kWIntermedia,kWPunta,KWMax,KVArh,FactorPotenica,Tipo de recibo
"$126,542.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31DIC17-31ENE18,GDMTH,191HBR,24d,390,390,Na,"59,928","12,272",96,429,386,277,"63,775",81.32,Empresarial,12,17,126542.00
"$119,968.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31ENE18-28FEB18,GDMTH,191HBR,24d,390,390,Na,"36,902","5,188",96,416,"348,",218,"43,380",76.10,Empresarial,1,18,119968.00
"$98,289.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,28FEB18-31MAR18,GDMTH,191HBR,24d,390,390,Na,"33,143",4211,96,350,295,179,"15,676",94.26,Empresarial,2,18,98289.00
"$191,755.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31MAR18-30ABR18,GDMTH,191HBR,24d,390,390,Na,"68,379","2,388",96,408,181,194,"40,182",89.20,Empresarial,3,18,191755.00
"$216,117.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,"30ABR18-31MAY18,",GOMTH,191HBR,2ad,390,390,Na,"73,340","1,825",96,390,188,196,"42,381",89.00,Empresarial,4,18,216117.00
"$228,478.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31MAY18-30JUN18,GOMTH,191HBR,24d,390,390,Na,"64,406","3,389",96,345,"235,",198,"39,582",89.84,Empresarial,5,18,228478.00
"$353,184.00",501160617933,,"30JUN18-31JUL18,",Ym,191HBR,ood,390,390,Na,"94,276","5,684",96,440,220,,"86,917",0.00,Empresarial,6,18,353184.00
"$547,629.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31JUL18-31AGO18,GOMTH,191HBR,2ad,390,390,Na,"115,817,","8,724",96,491,389,365,"100,491",83.86,Empresarial,7,18,547629.00
"$530,009.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,31AGO18-30SEP18,GOMTH,191HBR,2ad,390,390,Na,"90,030","9,846",96,424,378,332,"85,558",84.64,Empresarial,8,18,530009.00
"$558,839.00",501160617933,45420 16-07-03 WMA -151006 001 CFE ,30SEP18-31OCT18,GOMTH,191HBR,2ad,390,390,Na,"95,062","12,984",96,410,387,376,"88,866",No Existe,Empresarial,9,18,558839.00
"$49,952.00",087981001254,75152 89-10-19 ACM-821109 001 CFE ,29FEB20-31MAR20,GDMTH,5312CU,,138,135,Na,"10,047","1,934",90,60,47,37,"2,066",99.13,Empresarial,2,20,49952.00
"$32,100.00",087981001254,7515289-10-19 ACM-821109 001 CFE ,31MAR20-30ABR20,GDMTH,5312CU,,138,135,Na,"6,807",881,91,29,18,29,"2,962",No Existe,Empresarial,3,20,32100.00
